,link,writer,date,view,text
0,https://band.us/band/86294308/post/73,김도영,2022년 8월 23일 오전 11:17,48 읽음,잘크던 율마가 얼마전부터 한쪽으로 갈변이 생기네요ᆢㅠ과습인가싶어 2틀에 한번 주던 물도3일로 늘리고 통풍에 신경쓰고있는데요ᆢ우리율마가 왜이럴까요~?
0,https://band.us/band/86294308/post/74,남기영,2022년 8월 23일 오후 12:56,42 읽음,자꾸잎이떨ㅇㅓ져요 예전에는 잎도많고 꽃도피었어는데 어떻게 하면좋을까요.ㅡ.ㅠ도와주세용^^
0,https://band.us/band/86294308/post/75,서준.상현.도연맘,2022년 8월 23일 오후 11:54,28 읽음,안녕하세요.씨앗이 제법많이 자랐어요^^그런데..약하다보니...물을주다가 고개를숙여졌는데 ㅠ.ㅠ힘이 없는 윗줄가운데는 다시 서지않아요..계속그럴까요? 큰화분에 옮기는게좋은가요?그냥계속 두는게좋은가요?
0,https://band.us/band/86294308/post/76,포포,2022년 8월 25일 오후 5:58,25 읽음,학교 화단에 가을꽃 심고 싶은데 어떤 종류가 좋은가요?나무박스에 심을겁니다
0,https://band.us/band/86294308/post/77,윤병직,2022년 8월 25일 오후 9:01,39 읽음,필로덴드론입니다 잎 뒷면신데요 어느순간 검은점들이 생겼는데 뭐때문인지 궁금합니다
0,https://band.us/band/86294308/post/78,서준.상현.도연맘,2022년 8월 27일 오후 3:59,29 읽음,안녕하세요.저희집강아지가...잠깐  베란다 안전문이열린사이에 들어가서 요렇게만들어놨어요ㅜ옮겨심으면 다시살아날까요?
0,https://band.us/band/86294308/post/79,김 순덕,2022년 8월 29일 오후 3:54,44 읽음,잎이 이렇게 누렇게 변하는 무슨 이유인지 알수있을까요?그리고 이 아이 이름도 궁금합니다.알았었는데 어느새 까먹었어요.
0,https://band.us/band/86294308/post/80,김지혜,2022년 8월 30일 오전 10:01,27 읽음,몬스테라 몇년 잘 키우고새끼 까지 쳤는데ᆢ엄마가  이렇게 갈색으로  새로난  잎을잘라주었어요
0,https://band.us/band/86294308/post/81,김지혜,2022년 8월 30일 오전 10:03,45 읽음,
0,https://band.us/band/86294308/post/82,엄,2022년 8월 30일 오후 9:50,30 읽음,삭소롬이 꽃이 피지 않아요 상태는 나쁘지 않은것 같은데
0,https://band.us/band/86294308/post/83,김호정,2022년 8월 30일 오후 9:50,40 읽음,영양제 구입한 유저입니다. 집에서 키우는 식물진단받기위해 사진 올립니다. 2년차 애들 셋인데 전주 각각 증상이 다릅니다. 잎이 더 떨어지고 시들시들 ㅜㅠ
0,https://band.us/band/86294308/post/84,김호정,2022년 8월 30일 오후 10:24,36 읽음,산셀베리아 입이 갑자기다 떨어지는 이유도 부탁드립니다. ㅜㅠ
0,https://band.us/band/86294308/post/85,엄,2022년 9월 2일 오전 8:39,43 읽음,페페가 자꾸 줄기가 자꾸 물러 떨어지네요 잎 뒷에가 상처가 자꾸 생기요
0,https://band.us/band/86294308/post/86,김주연,2022년 9월 2일 오전 10:36,24 읽음,저 화분키우기 취미생활인데요.우연히 식물병원 알게 돼서 좋아요.
0,https://band.us/band/86294308/post/87,쩡아쩡아,2022년 9월 2일 오후 2:40,55 읽음,안스리움 잎이 멍이 들었어요ㅠㅠ분무기로 잎에 물을 분사해주면 좋다기에 그렇게 해줬거든요그래서 그런거 같은데 제가 잘못한건가요?여기서 햇빛영양제를 구입해 다시 잎과 꽃에 뿌려줬어요 괜찮은건지.... 그리고 영양제도 하나 꽂어주긴 했는데 물은 얼마만에  주는건가요?
0,https://band.us/band/86294308/post/88,서준.상현.도연맘,2022년 9월 2일 오후 2:52,25 읽음,강아지가 다죽인거같아요ㅠ옥수수는 죽은거겠죠?
0,https://band.us/band/86294308/post/89,표도리,2022년 9월 6일 오후 2:34,46 읽음,"실내에서 키우는 식물들이 아파서 문의드려요 ㅠㅠㅠ창가에 두고 환기도 충분히 시켜주는데아래 사진처럼 잎이 누렇게 변하고, 많이 떨어집니다어떻게 해야 식물들이 건강해질 수 있을까요(따사로운 햇볕을 잎에 충분히 뿌려둔 상태입니다)"
0,https://band.us/band/86294308/post/90,알린,2022년 9월 6일 오후 2:47,41 읽음,요 아이가 처음에는 괜찮다가 최근들어 왼쪽에 잎처럼 땅을보기 시작했어요 ㅠㅠ한장은 그러려니 했는데 모든 잎이 다 땅을 보니 왜그런지 모르겠네요...
0,https://band.us/band/86294308/post/91,금빛,2022년 9월 6일 오후 3:20,39 읽음,무늬종에게 뿌리면 무늬가 사라질수있을까요 알보몬스테라 에피프레넘피나텀바리에가타. 핑크프린세스 무늬보스턴고사리 무늬프라이덱 등이있어요. 알보는 영양제주면 무늬사라진다고 본거같아서요
0,https://band.us/band/86294308/post/92,소리,2022년 9월 8일 오후 2:16,53 읽음,"안녕하세요, 최근 화분에 물을 주다가 발견한 벌레입니다 ㅠㅠ 하얀색으로 움직이는거 보이시나요?? 이 벌레는 무슨벌레일까요? 없애려면 어떻게해야할지.... 농약이나 퇴치제 종류 추천부탁드립니다 식물들이 잘 못자라거나 이런건 아닌데 제가 찝찝해서 벌레를 없애고 싶어요..."
0,https://band.us/band/86294308/post/93,냠냠,2022년 9월 11일 오후 4:55,43 읽음,"안녕하세요최근 파키포디움 그락실리우스를 받아왔습니다.구근(줄기) 가 물렁하여 질문드립니다.구근이 물렁한것 물을 과다하게 주어 그런것인지물이 부족하여 그런것인지, 원래 그런것인지질문드립니다.감사합니다."
0,https://band.us/band/86294308/post/94,서휘영,2022년 9월 15일 오후 8:45,42 읽음,안녕하세요 저희집 히메몬스테라랑 필로덴드론뷰티그린이 어느순간부터 공중뿌리를 길게 뽑아내더니 잎이 커지지 않더라구요 코코봉은 해줬어요 ㅎㅎ잎이 왜 커지지 않을까요? (영양이 부족한것 같아서 꽃피우는시간을 뿌려주려고 샀는데 식물병원이 있어서 좋네요! ) #잎이작아짐
0,https://band.us/band/86294308/post/95,박숙,2022년 9월 16일 오후 2:52,26 읽음,🌻 꽃보고 싶어서 아파트 밖에 심었는데 잎이 바삭하게 말라요^^~아파트화단에서요
0,https://band.us/band/86294308/post/96,서준.상현.도연맘,2022년 9월 16일 오후 5:27,21 읽음,안녕하세요~~씨앗6종심은게  강낭콩이 보이기시작했어요.그런데 잎하나가 이상한데 뜯어줘야될까요?
0,https://band.us/band/86294308/post/97,박숙,2022년 9월 16일 오후 6:01,21 읽음,
0,https://band.us/band/86294308/post/98,지우♥,2022년 9월 18일 오후 12:47,51 읽음,알로카시아 왜이럴까요ㅠ 저희집만 오면이래요엄마가 키우면 잘크는데ㅠ
0,https://band.us/band/86294308/post/99,이남경,2022년 9월 20일 오후 6:37,34 읽음,집에 있는 다육이들인데 이름을 찾아도 비슷한 것들이 많아서 힘드네요.아시면 알려주세요~^^
0,https://band.us/band/86294308/post/101,조정임,2022년 9월 21일 오전 12:49,45 읽음,실내에서 키우다가 2주전 베란다로 옮겨서 키우고 있습니다그런데 잎에 노란 반점처럼 자꾸 생기네요~
0,https://band.us/band/86294308/post/102,이지혜,2022년 9월 22일 오후 12:19,47 읽음,스파트필름을거실에서 키우는데 점점 시들어가고 끝이자꾸자꾸타요 잘라주는데도 또 타고ㅠㅠ 원인이뭘까요 점점 축 쳐지고... #반려식물 #꽃피우는시간 #식물영양제 # #스파트필름
0,https://band.us/band/86294308/post/103,이수범,2022년 9월 22일 오후 5:29,35 읽음,감나무 겉줄기에 금이 갔는데이런 경우에는 새끼줄같은 걸로 감아서 나무가 쓰러지지 않게 보호해야 하는지요?
0,https://band.us/band/86294308/post/104,조정임,2022년 9월 24일 오전 1:38,36 읽음,거실에서 행잉으로 키우다가 잎이 우수수 떨어져서 분갈이한지 2개월되었습니다.새순도 안오르고 힘없이 쳐지네요..가지대가 말라서 자꾸 죽어갑니다지금 있는 거라도 건강하게 살리고 싶어요..
0,https://band.us/band/86294308/post/105,Linda,2022년 9월 24일 오후 3:09,43 읽음,레몬나무
0,https://band.us/band/86294308/post/106,반려식물을 좋아는 뇨자,2022년 9월 25일 오후 1:09,42 읽음,안녕하세요.저의 반려식물 뱅갈고무나무 진단부탁드립니다.내내 몰았는데 좀전에 화분방향을 바꾸다눈에 들어왔는데요 잎 아랫쪽에 반점들이 있네요.뭐가 부족해서 그런건지치유방법부탁드립니다.#작년까지 거실중앙에있다 올 봄부터 발코니쪽에서 키우고있습니다
0,https://band.us/band/86294308/post/107,김민영,2022년 9월 25일 오후 6:44,48 읽음,"안녕하세요. 여름내내 잘 자라던 우리집 파키라가 요즘 좀 이상한것 같아서 문의드려요. 햇빛 잘드는 창가에 자리잡아야 할 친구들이 많다보니 파키라는 거실 안쪽에 식물등을 차지하고 있을때가 많은데요~ 새잎도 잘 내고 파릇파릇 잘 자라는것 같더니 요즘은 새잎 나는 속도도 느리고 잎들이 노래지고 있는 느낌입니다. 무엇보다 군데군데 탄(?) 듯한 잎들이 생겼어요. 물은 수분측정기로 측정해보고 바짝 바르면 듬뿍 주는데 테라조 화분에 흙도 배수가 잘 안되는 흙인지 한번 주면 한참동안 안줘도 될 정도로 잘 마르지 않아요. 거의 3주에 한번 줄까 말까 할 정도인데요, 대신 잎에는 공중분무를 아침마다 해주었어요. 울 집 식물들중 해를 제일 못보는 편이니 따사로운 햇볕도 주2-3회 뿌려주고요. 멀리서 보면 괜찮은 것처첨 보여도 잎 하나하나 들여다보면 걱정스러워요 ㅠㅠ 과습일까요? 아님 식물등이 너무 가까워서 잎이 타는 걸까요? 아님 병충해일까요?"
0,https://band.us/band/86294308/post/108,Kayle,2022년 9월 28일 오후 4:08,53 읽음,우리 식물이(뱅갈 고무나무) 병들었는데어떻게 해야할까요지금 분갈이 한지 이틀 되었고따사로운 햇볕 구매한지 이틀되었고흙과 이파리에 뿌려줬는데차도가 없습니다어떻게 해야할까요?
0,https://band.us/band/86294308/post/109,조정임,2022년 9월 29일 오후 6:07,43 읽음,분갈이 2주째입니다.가을이라 밖에서 빛줄려고 옮겼는데 잎이저렇게 햇볕에 타보인듯 반점과 함께 떨어집니다.
0,https://band.us/band/86294308/post/110,강산보물,2022년 9월 29일 오후 7:54,39 읽음,흰색동그라미 친부분이 누렇게 뜨는이유 알고 싶어요프리테아인가 그 식물은 산지 일주일인데 음 잎이 말라가고 있어요. 왜그런지 이유를 잘모르겠습니다.프리테아는 분갈이 2주 정도 됐구요. 분갈이 하고 일주일정도는 잎도 팡팡하고 괜찮았습니다..
0,https://band.us/band/86294308/post/111,Linda,2022년 9월 30일 오전 10:11,44 읽음,오렌지 레몬나무 인데요 잎이 이렇기 되서 떨어지기도 하네요무엇일까요 과습일까뇨?이 나무가 온지 2주째인데물은 일주일에 한번쯤 주고있어요
0,https://band.us/band/86294308/post/112,박수진,2022년 10월 1일 오후 4:39,55 읽음,안시리움인데잎이 계속 노랗게 말라가고 꽃도 말라가네요😢대체 왜 이렇게 아픈걸까요?
0,https://band.us/band/86294308/post/113,이지혜,2022년 10월 6일 오전 12:33,48 읽음,스파트필름 가지에 어떤부분은 저렇게 하얘지고 까매지고 하는데 왜그런걸까요ㅠㅠ 뿌려주는것도 잘하고 물도 자주주고 그러고잇는데ㅠㅠ 낮에 직사광선피해서 해도 잘보게해주구요..
0,https://band.us/band/86294308/post/114,박소민,2022년 10월 6일 오후 1:13,46 읽음,꽃피우는시간 식물영양제 집에서키우는식물용을 구매했는데요칼라디움의 경우 잎에 물이 직접 닿는걸 싫어한다고 알고 있는데잎에 바로 분무해도 될까요?칼라데아 진저의 경우 잎에 물이 묻으면 탈 수 있다고 하는데이것도 잎에 바로 분무해도 괜찮을지 궁금해요.키우는 환경은 실내이고 식물등 켜두었어요!
0,https://band.us/band/86294308/post/116,조정임,2022년 10월 6일 오후 9:43,55 읽음,"청화각에 하얀 가루뿌려놓은것처럼 뭔가 생겼어요..물은 평균 35일에 한번씩 흠뻑 주고,거실창가에서 키우고 있습니다.키가 저렇게 자꾸 자라는데 어떻해야하나요?아무래도 2~3년만 더 키우면 천장에 닿을듯^^하얀분처럼 생긴게 혹시 병이 온건가요?"
0,https://band.us/band/86294308/post/117,꽃피우는시간,2022년 10월 8일 오후 9:56,44 읽음,"[꽃피우는시간 첫 이벤트 예고]안녕하세요~ 꽃피우는시간 가족 여러분이 세상 모든 반려식물이 건강해질 때까지. 꽃피우는시간 대표 김경훈이에요지금까지 이렇다 할 이벤트 하나 없이 운영해온 것 같아, 죄송한 마음이 앞서네요.그래서 이번에 이벤트를 진행해보려고 해요.관련해 세 가지 공지 드릴 게 있어요.1. '뿌리를 건강하게 해주는 영양제' 신제품을 다음 주 화요일(10/11)에 공개할 예정이에요."
0,https://band.us/band/86294308/post/118,손예진,2022년 10월 10일 오전 11:17,46 읽음,분갈이 하고 3일째보니 잎이 이렇게 되었어요?왜이런거예요? 좀 가르쳐주세요..
0,https://band.us/band/86294308/post/119,꽃피우는시간,2022년 10월 10일 오후 6:11,80 읽음,['뿌리를 살려주는 식물영양제' 신제품 공개!]약속 드렸던 이벤트를 공지할게요!
0,https://band.us/band/86294308/post/120,초보키우미,2022년 10월 10일 오후 6:12,33 읽음,몬스테라 분갈이를 하려고하는데 초보가 진행하기에는 어려울까요?
0,https://band.us/band/86294308/post/121,이수범,2022년 10월 13일 오후 3:23,42 읽음,비졋티접란이 뿌리줄기를 엄청 내렸는데이럴 땐 분리해서 옮겨심어야 하는지요?그대로 둬도 되는지요?
0,https://band.us/band/86294308/post/122,진,2022년 10월 14일 오전 8:48,39 읽음,안녕하세요...저는 쿠팡에서 식물영양제 검색하다가 따사로운 햇볕제품을 보구 괜찮은제품일거같아 구입하고 어찌하다보니 여기 밴드까지오게됐네요식물키우다 궁금한거있음 많이 알려주세요잘 부탁드립니다~~~^^
0,https://band.us/band/86294308/post/123,진,2022년 10월 14일 오전 9:31,27 읽음,저희집 안쉬리움입니다~~~^^꽃대가 하나 떨어지면 하나 나오고 그러네요....
0,https://band.us/band/86294308/post/124,라미,2022년 10월 15일 오전 10:04,31 읽음,배롱나무 심은지 한달되가는듯 해요잎이점점 마르더니 일교차커지면서 잎이저렇게되더니죽은건지 죽어가는건지요? 그리고 못본사이 비눗방울액을 애가 부어버린적도 있어요.
0,https://band.us/band/86294308/post/125,라미,2022년 10월 15일 오전 10:08,36 읽음,잎이 시멘트가루뭍은거처럼 몇일전부터 그렇네요.왜이런건지..
0,https://band.us/band/86294308/post/126,이순옥,2022년 10월 16일 오전 8:39,37 읽음,
0,https://band.us/band/86294308/post/127,서효숙,2022년 10월 16일 오전 9:36,44 읽음,1.수채화 고무나무의 잎이 자꾸 처지는데..전에 물이 필요해서 그런가하고 물 주다가 과습으로 죽인 적이 있어서 물주기가 겁이나요..어떻게 해야할까요?
0,https://band.us/band/86294308/post/128,리미,2022년 10월 16일 오후 12:40,50 읽음,해도 잘받고 일줄에 1번씩 물주라해서 물도 잘주고 통풍도 시켜주고있는데 꽃잎이 시들해요... 다육이몇개랑 첨키워보는데 어찌해야할지 모르겠어요 물주면 다음날 쑥 올라와서 잎은상태가좋은거같은데 위에 꽃잎이 시들해요...ㅠㅠ왜이러는걸까요...ㅠㅠㅠ속상해요영양제뿌릴때 꽃잎에는 뿌리면 안되나요??..
0,https://band.us/band/86294308/post/129,박소민,2022년 10월 16일 오후 9:46,44 읽음,몬스테라 잎 끝이 연두색으로 변했어요..아직 작은 플라스틱 포트에 있어서 그런 걸까요? 아님 과습인가요??아직 데려온지 하루돼서 분갈이는 다음주에 하려고 하는데 다음주까지 기다리지 말고 지금 당장 해줘야 할까요?
0,https://band.us/band/86294308/post/130,진,2022년 10월 16일 오후 10:33,39 읽음,따사라운 햇볕을 난에도 뿌려줘도 괜찮나요?
0,https://band.us/band/86294308/post/131,홍현,2022년 10월 17일 오전 12:20,19 읽음,안녕하세요. 초대 감사드려요.^^
0,https://band.us/band/86294308/post/132,진,2022년 10월 17일 오후 2:32,45 읽음,저희집 호야인데요...꽃은 어찌해야 피울수있을까요?점점 커가길래 덩쿨타고 올라가라구 해줬는데....꽃 꼭좀 보고싶어용~~^^
0,https://band.us/band/86294308/post/133,이순옥,2022년 10월 17일 오후 4:21,47 읽음,0890  우리집  호야가  꽂을 안피네요  계울에도  필까요
0,https://band.us/band/86294308/post/134,강미경,2022년 10월 17일 오후 4:30,49 읽음,칼라디움 5일전에 분갈이했는데 잎테두리가 변색되면서 마르네ㅠ
0,https://band.us/band/86294308/post/136,라미,2022년 10월 18일 오전 11:46,47 읽음,로즈마런데 잎이 군데군데 빨간게있어요이거도 벌레때문일까요?
0,https://band.us/band/86294308/post/137,레몬트리,2022년 10월 19일 오전 8:20,57 읽음,레몬트리를 들여왔는데 이런파리가 계속 나오네요종류와 퇴치법 좀 알수있을까요?
0,https://band.us/band/86294308/post/138,박소민,2022년 10월 19일 오전 9:04,40 읽음,아기별쟈스민 나무 잎이 노랗게 변하고 있는데 이건 왜 그런 걸까요?베란다에 나둬서 추워서 그런걸까요?지금은 들여다 놨어요ㅜㅜ 할 수 있는 조치가 있을까요?
0,https://band.us/band/86294308/post/139,조정임,2022년 10월 19일 오전 10:40,36 읽음,거실 반양지에서 키우고있는 코브라입니다.근데 잎끝이 까맣게 변하는건 왜그럴까요?분갈이 한지 2년 되었는데 이제 새순도 안올라오네요..물은 잎이  늘어진듯 보이면 흠뻑 주고있습니다
0,https://band.us/band/86294308/post/140,진,2022년 10월 19일 오전 11:12,49 읽음,아주 쬐끄만할때 받은건데 잡초처럼 쑥쑥크는거같아요? 겨울엔 들여놔야하나요?  그리고 줄기 중간중간에 나오는건 뭐예요...솔직히 이 아이 이름도 잘 모르고 키우고있네요
0,https://band.us/band/86294308/post/141,반려식물을 좋아는 뇨자,2022년 10월 19일 오후 6:45,37 읽음,우리집 사랑초잎이 벌레가 갈가먹은거같아요.오늘보니 꼬맹이달팽이가 보이네요.범인맞나요?
0,https://band.us/band/86294308/post/142,민경운,2022년 10월 19일 오후 8:36,53 읽음,동백나무입니다. 예전에 밴드에서 우연히 발견한 후 따사로운 햇볕 일주일에 한두어번씩 뿌려주고 있습니다. 덕분에 몽오리가 제법 올라왔네요. 올겨울에는 동백꽃을 볼 수 있을지도 모르겠습니다. 예전에 이러다가 꽃몽오리가 우수수 떨어졌던 기억이 있습니다. 따사로운 햇볕 덕분인지 동백이는 튼튼하게 잘 자라고 있는데 특별히 주의해야 할 사항이 있을까요? 물주기는 나름 신경써서 하고 있지만 환경 자체가 아주 좋은 환경은 아니라서 식물등까지 동원해 놓긴 했습니다..
0,https://band.us/band/86294308/post/143,CARIDINA,2022년 10월 20일 오후 1:10,37 읽음,흙속에 벌레들까지 싹 죽이는 약은 뭐가 있나요?이제 집안으로 화분을 옮기려하는데 밖에있던 화분이라 벌레들이 많이 꼬인거 같아요화분속에 숨어있는 벌레들까지 싹 죽이는 약이나  방법이 있을까요?
0,https://band.us/band/86294308/post/144,진,2022년 10월 21일 오후 3:29,27 읽음,가을을 조금이나마 느껴보시라구요ㅎㅎ식물하곤 관계없지만 올려보아용~~^^
0,https://band.us/band/86294308/post/145,박소민,2022년 10월 22일 오전 12:05,37 읽음,잭클린 잎 끝이랑 옆 쪽이 얇아지면서 마르는거 같아요..과습 일까요?아니면 신엽이 나오면서 시들해 지는걸까요..?ㅜㅜ두개뿐인 잎이 이제 겨우 3개가 되려하는데 하나가 시들하네요ㅜㅜ오늘 시들한거 보고 광합성 뿌리는거 잎에 뿌려주긴 했어요..
0,https://band.us/band/86294308/post/146,박금란,2022년 10월 22일 오전 12:14,57 읽음,"이 애는 왜 마르는걸가요?거실 티비위 장식장 위 놓아두었던 친구예요,하루 두번 영양제 스프레이 하는데~~좀 알려주세요~~"
